p_min	n_max	tg_t/s	n_dec	acc	gen	mean_len
0.75	4	111.40	4040	0.90857	3478	4.47
0.75	5	112.31	3731	0.87781	3732	5.14
0.75	6	117.91	3915	0.88182	3850	5.97
0.75	8	154.62	3735	0.81844	4241	6.74
0.80	4	105.92	3840	0.87887	3525	4.29
0.80	6	112.04	3726	0.86201	3877	5.73
0.80	8	140.09	3812	0.78080	4334	6.21
0.80	12	174.21	3681	0.78099	4607	8.61
0.85	6	108.29	3928	0.84380	3886	5.45
0.85	8	134.55	4063	0.78135	4258	5.81
0.85	12	164.46	3985	0.78521	4502	7.85
0.90	8	135.50	4094	0.81010	4097	5.82
0.90	12	146.86	3990	0.74805	4608	6.96
