p_min	n_max	tg_t/s	n_dec	acc	gen	mean_len
0.75	4	119.92	3986	0.95092	3382	4.73
0.75	5	121.53	4038	0.92861	3586	5.46
0.75	6	122.85	3724	0.91245	3758	6.27
0.75	8	176.37	3728	0.89611	3956	7.56
0.80	4	117.49	3905	0.95692	3366	4.74
0.80	6	124.48	3773	0.93695	3664	6.32
0.80	8	177.81	3748	0.90709	3907	7.71
0.80	12	194.93	3539	0.84460	4318	9.60
0.85	6	124.56	3760	0.94592	3624	6.32
0.85	8	174.51	3704	0.91498	3858	7.54
0.85	12	193.99	3521	0.86055	4238	9.60
0.90	8	176.35	3738	0.93896	3768	7.65
0.90	12	190.01	3451	0.87742	4136	9.46
