p_min	n_max	tg_t/s	n_dec	acc	gen	mean_len
0.75	4	105.91	3837	0.83829	3667	4.16
0.75	5	110.59	4008	0.84861	3818	4.96
0.75	6	107.40	3898	0.79079	4149	5.24
0.75	8	158.99	3838	0.80724	4311	6.86
0.80	4	112.19	3733	0.92362	3430	4.56
0.80	6	99.98	3915	0.76165	4162	4.87
0.80	8	148.29	4041	0.79729	4287	6.40
0.80	12	155.95	3777	0.70719	4976	7.59
0.85	6	108.51	3947	0.82644	3964	5.29
0.85	8	145.98	3963	0.82138	4154	6.42
0.85	12	153.62	3708	0.76042	4608	7.54
0.90	8	142.33	3878	0.82875	4105	6.31
0.90	12	146.41	3980	0.74101	4672	7.11
