p_min	n_max	tg_t/s	n_dec	acc	gen	mean_len
0.75	4	119.64	3970	0.96630	3353	4.82
0.75	5	119.46	3969	0.92528	3600	5.47
0.75	6	130.39	3948	0.96825	3591	6.71
0.75	8	191.83	3475	0.93953	3820	8.21
0.80	4	118.18	3931	0.96933	3326	4.78
0.80	6	126.08	3816	0.94269	3664	6.47
0.80	8	189.35	4006	0.93181	3842	8.12
0.80	12	203.95	3699	0.85965	4275	10.07
0.85	6	127.07	3848	0.95623	3610	6.47
0.85	8	187.04	3949	0.95096	3752	8.05
0.85	12	226.25	3419	0.91248	4079	11.17
0.90	8	183.61	3872	0.93656	3799	7.84
0.90	12	209.58	3809	0.89497	4113	10.02
